"Date","Theft","Vandalism","Kidnapping","Controlled","Assault","Other"
"12/10/2014",176,40,18,14,38,125
"12/11/2014",139,41,6,9,28,99
"12/12/2014",227,33,14,7,39,113
"12/13/2014",180,47,12,9,42,125
"12/14/2014",185,30,5,10,25,122
"12/15/2014",189,36,7,9,34,91
"12/16/2014",164,37,12,12,26,104
"12/17/2014",174,45,13,14,34,126
"12/18/2014",191,38,10,23,39,133
"12/19/2014",212,50,8,12,29,140
"12/20/2014",192,39,9,7,39,134
"12/21/2014",182,44,11,8,40,130
"12/22/2014",211,34,19,11,44,121
"12/23/2014",200,32,10,13,35,136
"12/24/2014",182,42,8,14,28,96
"12/25/2014",101,37,4,11,38,66
"12/26/2014",186,29,19,14,34,127
"12/27/2014",203,29,8,10,25,101
"12/28/2014",152,34,7,18,30,120
"12/29/2014",207,34,16,20,26,131
"12/30/2014",166,34,12,15,33,117
"12/31/2014",163,34,10,20,32,142
